fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2023,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,502.0,18.75,16.5
FY 2023,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,478.0,21.67,22
FY 2023,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,461.0,22.72,22.72
FY 2023,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,433.0,17.96,14.93
FY 2023,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,297.0,18.63,16
FY 2023,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,229.0,18.48,17
FY 2023,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,176.0,20.59,23
FY 2023,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,132.0,18.8,17.59
FY 2023,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,115.0,20,19.12
FY 2023,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,72.0,21.61,19.17
FY 2023,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,51.0,16.37,16
FY 2023,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,50.0,29.97,34.02
FY 2023,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,33.0,17.89,16
FY 2023,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,31.0,18.4,17
FY 2023,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,16.0,16.79,16.35
FY 2023,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,14.0,19.12,18.31
FY 2024,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,2281.0,21.77,21.32
FY 2024,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,1428.0,30.95,37.91
FY 2024,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,1093.0,20.35,18.39
FY 2024,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,698.0,21.06,22.81
FY 2024,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,562.0,18.28,17.5
FY 2024,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,501.0,19.09,16.3
FY 2024,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,499.0,24.06,24.25
FY 2024,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,481.0,22.1,23
FY 2024,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,458.0,20.71,17.79
FY 2024,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,346.0,19.26,17
FY 2024,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,287.0,20.02,18.15
FY 2024,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,203.0,20.58,22
FY 2024,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,167.0,18.68,17
FY 2024,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,154.0,18.68,17.5
FY 2024,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,93.0,22.05,20.9
FY 2024,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,92.0,18.87,17
FY 2024,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,40.0,29.96,34.02
FY 2024,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,38.0,18.25,16
FY 2024,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,33.0,21.55,19
FY 2024,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,22.0,20.42,19
FY 2024,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,16.0,17.6,16.85
FY 2025,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,2296.0,22.68,21.82
FY 2025,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,1598.0,33.04,38.34
FY 2025,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,1168.0,21.21,19.78
FY 2025,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,809.0,22.7,22.91
FY 2025,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,718.0,20.67,17.16
FY 2025,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,700.0,21.53,20.25
FY 2025,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,648.0,18.75,17.95
FY 2025,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,577.0,21.28,19.24
FY 2025,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,535.0,24.38,24.6
FY 2025,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,453.0,19.81,18
FY 2025,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,302.0,20.47,20
FY 2025,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,228.0,20.68,19.72
FY 2025,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,201.0,18.67,17.5
FY 2025,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,182.0,20.4,18
FY 2025,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,132.0,23.19,20
FY 2025,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,101.0,23.16,22
FY 2025,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,82.0,19.1,17
FY 2025,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,50.0,20.33,20
FY 2025,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,50.0,18.03,17
FY 2025,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,36.0,20.31,19
FY 2025,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,19.0,17.82,17
FY 2026,NJ,New Jersey,Middlesex County,Middlesex,"Middlesex, NJ",Active Apprentices,2273.0,22.81,21.82
FY 2026,NJ,New Jersey,Essex County,Essex,"Essex, NJ",Active Apprentices,1470.0,33.28,39.04
FY 2026,NJ,New Jersey,Monmouth County,Monmouth,"Monmouth, NJ",Active Apprentices,1210.0,21.61,19.78
FY 2026,NJ,New Jersey,Morris County,Morris,"Morris, NJ",Active Apprentices,853.0,22.41,22
FY 2026,NJ,New Jersey,Camden County,Camden,"Camden, NJ",Active Apprentices,805.0,21.62,20.5
FY 2026,NJ,New Jersey,Bergen County,Bergen,"Bergen, NJ",Active Apprentices,719.0,18.85,17.95
FY 2026,NJ,New Jersey,Atlantic County,Atlantic,"Atlantic, NJ",Active Apprentices,710.0,20.4,17.5
FY 2026,NJ,New Jersey,Mercer County,Mercer,"Mercer, NJ",Active Apprentices,680.0,21.83,20
FY 2026,NJ,New Jersey,Union County,Union,"Union, NJ",Active Apprentices,493.0,24.45,24.6
FY 2026,NJ,New Jersey,Burlington County,Burlington,"Burlington, NJ",Active Apprentices,438.0,19.81,17.5
FY 2026,NJ,New Jersey,Ocean County,Ocean,"Ocean, NJ",Active Apprentices,297.0,20.26,19
FY 2026,NJ,New Jersey,Somerset County,Somerset,"Somerset, NJ",Active Apprentices,255.0,20.83,19.72
FY 2026,NJ,New Jersey,Gloucester County,Gloucester,"Gloucester, NJ",Active Apprentices,202.0,18.83,17.5
FY 2026,NJ,New Jersey,Passaic County,Passaic,"Passaic, NJ",Active Apprentices,187.0,20.69,18.5
FY 2026,NJ,New Jersey,Hudson County,Hudson,"Hudson, NJ",Active Apprentices,137.0,23.43,20
FY 2026,NJ,New Jersey,Cumberland County,Cumberland,"Cumberland, NJ",Active Apprentices,105.0,22.97,22
FY 2026,NJ,New Jersey,Hunterdon County,Hunterdon,"Hunterdon, NJ",Active Apprentices,74.0,19.21,17
FY 2026,NJ,New Jersey,Salem County,Salem,"Salem, NJ",Active Apprentices,58.0,17.82,16.25
FY 2026,NJ,New Jersey,Sussex County,Sussex,"Sussex, NJ",Active Apprentices,48.0,21.64,20.5
FY 2026,NJ,New Jersey,Cape May County,Cape May,"Cape May, NJ",Active Apprentices,48.0,19.95,18
FY 2026,NJ,New Jersey,Warren County,Warren,"Warren, NJ",Active Apprentices,19.0,18.7,19
FY 2020,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,1430.0,14.47,13.68
FY 2020,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,521.0,24.06,22.72
FY 2020,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,104.0,10.67,10.58
FY 2020,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,20.43,19.02
FY 2020,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,12.75,12.75
FY 2020,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,26.62,26.73
FY 2020,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,18.63,18.63
FY 2020,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,11,11
FY 2020,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,15.1,15.1
FY 2021,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,1476.0,14.93,14.51
FY 2021,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,522.0,25.12,25.1
FY 2021,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,99.0,10.86,10.58
FY 2021,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,20.56,19.4
FY 2021,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,12.33,12.75
FY 2021,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,26.99,27.25
FY 2021,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,18.63,18.63
FY 2021,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2022,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,1725.0,15.47,15.05
FY 2022,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,515.0,26.55,26.24
FY 2022,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,93.0,11.03,11.32
FY 2022,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,21.04,19.4
FY 2022,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,13.49,14.88
FY 2022,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,28.26,27.25
FY 2022,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2022,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,18.63,18.63
FY 2022,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,18.5,18.5
FY 2023,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,2177.0,16.24,15.84
FY 2023,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,592.0,27.77,27.03
FY 2023,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,104.0,11.48,11.5
FY 2023,NM,New Mexico,Santa Fe County,Santa Fe,"Santa Fe, NM",Active Apprentices,0.0,15.94,16
FY 2023,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,29.44,29.78
FY 2023,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,23.22,23.22
FY 2023,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,15.5,14.88
FY 2023,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,20.34,21.2
FY 2023,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2023,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,18.5,18.5
FY 2024,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,2209.0,17.01,16.3
FY 2024,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,625.0,28.95,27.74
FY 2024,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,94.0,12.18,12
FY 2024,NM,New Mexico,Santa Fe County,Santa Fe,"Santa Fe, NM",Active Apprentices,23.0,15.58,14.51
FY 2024,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,24.34,27.04
FY 2024,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,30.31,30.67
FY 2024,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,14.96,14.88
FY 2024,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,20.61,21.2
FY 2024,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2024,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,18.72,18.72
FY 2025,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,2472.0,17.17,16.3
FY 2025,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,685.0,29.71,29.23
FY 2025,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,91.0,12.29,12
FY 2025,NM,New Mexico,Santa Fe County,Santa Fe,"Santa Fe, NM",Active Apprentices,32.0,15.33,14.51
FY 2025,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,16.36,16.87
FY 2025,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,32.19,30.67
FY 2025,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,27.31,27.04
FY 2025,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,20.61,21.2
FY 2025,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2025,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,18.72,18.72
FY 2026,NM,New Mexico,Bernalillo County,Bernalillo,"Bernalillo, NM",Active Apprentices,2472.0,17.17,16.3
FY 2026,NM,New Mexico,Valencia County,Valencia,"Valencia, NM",Active Apprentices,781.0,30.36,29.28
FY 2026,NM,New Mexico,Doña Ana County,Doña Ana,"Doña Ana, NM",Active Apprentices,91.0,12.29,12
FY 2026,NM,New Mexico,Santa Fe County,Santa Fe,"Santa Fe, NM",Active Apprentices,32.0,15.33,14.51
FY 2026,NM,New Mexico,San Juan County,San Juan,"San Juan, NM",Active Apprentices,0.0,16.36,16.87
FY 2026,NM,New Mexico,Cibola County,Cibola,"Cibola, NM",Active Apprentices,0.0,32.19,30.67
FY 2026,NM,New Mexico,Torrance County,Torrance,"Torrance, NM",Active Apprentices,0.0,27.31,27.04
FY 2026,NM,New Mexico,Los Alamos County,Los Alamos,"Los Alamos, NM",Active Apprentices,0.0,20.61,21.2
FY 2026,NM,New Mexico,McKinley County,McKinley,"McKinley, NM",Active Apprentices,0.0,14,14
FY 2026,NM,New Mexico,Colfax County,Colfax,"Colfax, NM",Active Apprentices,0.0,18.72,18.72
FY 2020,NY,New York,Queens County,Queens,"Queens, NY",Active Apprentices,6465.0,,
FY 2020,NY,New York,New York County,New York,"New York, NY",Active Apprentices,1579.0,17.59,16.14
FY 2020,NY,New York,Monroe County,Monroe,"Monroe, NY",Active Apprentices,1138.0,,
FY 2020,NY,New York,Albany County,Albany,"Albany, NY",Active Apprentices,1046.0,19.16,17.68
FY 2020,NY,New York,Onondaga County,Onondaga,"Onondaga, NY",Active Apprentices,891.0,,
FY 2020,NY,New York,Suffolk County,Suffolk,"Suffolk, NY",Active Apprentices,732.0,,
FY 2020,NY,New York,Erie County,Erie,"Erie, NY",Active Apprentices,709.0,28.73,28.38
FY 2020,NY,New York,Westchester County,Westchester,"Westchester, NY",Active Apprentices,569.0,21.17,18.61
FY 2020,NY,New York,Orange County,Orange,"Orange, NY",Active Apprentices,358.0,,0.01
FY 2020,NY,New York,Broome County,Broome,"Broome, NY",Active Apprentices,169.0,,
FY 2020,NY,New York,Putnam County,Putnam,"Putnam, NY",Active Apprentices,140.0,,
FY 2020,NY,New York,Oneida County,Oneida,"Oneida, NY",Active Apprentices,138.0,,
FY 2020,NY,New York,Rockland County,Rockland,"Rockland, NY",Active Apprentices,119.0,,
FY 2020,NY,New York,Chemung County,Chemung,"Chemung, NY",Active Apprentices,119.0,,
FY 2020,NY,New York,Niagara County,Niagara,"Niagara, NY",Active Apprentices,118.0,29.23,29.23
FY 2020,NY,New York,Jefferson County,Jefferson,"Jefferson, NY",Active Apprentices,118.0,,
FY 2020,NY,New York,Chautauqua County,Chautauqua,"Chautauqua, NY",Active Apprentices,104.0,,
FY 2020,NY,New York,Tompkins County,Tompkins,"Tompkins, NY",Active Apprentices,87.0,,
FY 2020,NY,New York,Saratoga County,Saratoga,"Saratoga, NY",Active Apprentices,79.0,,
FY 2020,NY,New York,Ontario County,Ontario,"Ontario, NY",Active Apprentices,69.0,,
FY 2020,NY,New York,Ulster County,Ulster,"Ulster, NY",Active Apprentices,64.0,,
FY 2020,NY,New York,Nassau County,Nassau,"Nassau, NY",Active Apprentices,49.0,,
FY 2020,NY,New York,Richmond County,Richmond,"Richmond, NY",Active Apprentices,47.0,,
FY 2020,NY,New York,Bronx County,Bronx,"Bronx, NY",Active Apprentices,45.0,,
FY 2020,NY,New York,Warren County,Warren,"Warren, NY",Active Apprentices,37.0,,
FY 2020,NY,New York,Dutchess County,Dutchess,"Dutchess, NY",Active Apprentices,35.0,,
FY 2020,NY,New York,Columbia County,Columbia,"Columbia, NY",Active Apprentices,27.0,,
FY 2020,NY,New York,Oswego County,Oswego,"Oswego, NY",Active Apprentices,26.0,,
FY 2020,NY,New York,Cortland County,Cortland,"Cortland, NY",Active Apprentices,26.0,,
FY 2020,NY,New York,St. Lawrence County,St. Lawrence,"St. Lawrence, NY",Active Apprentices,24.0,,
FY 2020,NY,New York,Herkimer County,Herkimer,"Herkimer, NY",Active Apprentices,18.0,,
FY 2020,NY,New York,Franklin County,Franklin,"Franklin, NY",Active Apprentices,15.0,,
FY 2020,NY,New York,Schenectady County,Schenectady,"Schenectady, NY",Active Apprentices,14.0,,
FY 2020,NY,New York,Essex County,Essex,"Essex, NY",Active Apprentices,14.0,,0.12
FY 2020,NY,New York,Madison County,Madison,"Madison, NY",Active Apprentices,13.0,,
FY 2020,NY,New York,Fulton County,Fulton,"Fulton, NY",Active Apprentices,10.0,,
FY 2020,NY,New York,Wayne County,Wayne,"Wayne, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Otsego County,Otsego,"Otsego, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Chenango County,Chenango,"Chenango, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Steuben County,Steuben,"Steuben, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Rensselaer County,Rensselaer,"Rensselaer, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Genesee County,Genesee,"Genesee, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Cattaraugus County,Cattaraugus,"Cattaraugus, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Delaware County,Delaware,"Delaware, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Seneca County,Seneca,"Seneca, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Clinton County,Clinton,"Clinton, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Cayuga County,Cayuga,"Cayuga, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Kings County,Kings,"Kings, NY",Active Apprentices,0.0,16.25,16.25
FY 2020,NY,New York,Washington County,Washington,"Washington, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Schuyler County,Schuyler,"Schuyler, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Schoharie County,Schoharie,"Schoharie, NY",Active Apprentices,0.0,,
FY 2020,NY,New York,Greene County,Greene,"Greene, NY",Active Apprentices,0.0,,
FY 2021,NY,New York,Queens County,Queens,"Queens, NY",Active Apprentices,5990.0,,
FY 2021,NY,New York,New York County,New York,"New York, NY",Active Apprentices,1736.0,18.34,15.75
FY 2021,NY,New York,Monroe County,Monroe,"Monroe, NY",Active Apprentices,1372.0,,
FY 2021,NY,New York,Albany County,Albany,"Albany, NY",Active Apprentices,1061.0,19.62,18.04
FY 2021,NY,New York,Onondaga County,Onondaga,"Onondaga, NY",Active Apprentices,1013.0,21.83,20.95
FY 2021,NY,New York,Suffolk County,Suffolk,"Suffolk, NY",Active Apprentices,789.0,,
FY 2021,NY,New York,Erie County,Erie,"Erie, NY",Active Apprentices,725.0,28.73,28.38
FY 2021,NY,New York,Westchester County,Westchester,"Westchester, NY",Active Apprentices,615.0,24.59,19.23
FY 2021,NY,New York,Orange County,Orange,"Orange, NY",Active Apprentices,344.0,,0.01
FY 2021,NY,New York,Broome County,Broome,"Broome, NY",Active Apprentices,207.0,,
FY 2021,NY,New York,Oneida County,Oneida,"Oneida, NY",Active Apprentices,128.0,,
FY 2021,NY,New York,Tompkins County,Tompkins,"Tompkins, NY",Active Apprentices,125.0,,
FY 2021,NY,New York,Putnam County,Putnam,"Putnam, NY",Active Apprentices,122.0,,
FY 2021,NY,New York,Jefferson County,Jefferson,"Jefferson, NY",Active Apprentices,122.0,,
FY 2021,NY,New York,Niagara County,Niagara,"Niagara, NY",Active Apprentices,116.0,29.23,29.23
FY 2021,NY,New York,Saratoga County,Saratoga,"Saratoga, NY",Active Apprentices,115.0,,
FY 2021,NY,New York,Chemung County,Chemung,"Chemung, NY",Active Apprentices,112.0,,
FY 2021,NY,New York,Chautauqua County,Chautauqua,"Chautauqua, NY",Active Apprentices,107.0,,
FY 2021,NY,New York,Rockland County,Rockland,"Rockland, NY",Active Apprentices,81.0,,
FY 2021,NY,New York,Ulster County,Ulster,"Ulster, NY",Active Apprentices,62.0,,
FY 2021,NY,New York,Ontario County,Ontario,"Ontario, NY",Active Apprentices,56.0,,
FY 2021,NY,New York,Nassau County,Nassau,"Nassau, NY",Active Apprentices,54.0,,
FY 2021,NY,New York,Richmond County,Richmond,"Richmond, NY",Active Apprentices,53.0,,
FY 2021,NY,New York,Oswego County,Oswego,"Oswego, NY",Active Apprentices,50.0,,
FY 2021,NY,New York,Dutchess County,Dutchess,"Dutchess, NY",Active Apprentices,49.0,,
FY 2021,NY,New York,Warren County,Warren,"Warren, NY",Active Apprentices,47.0,,
FY 2021,NY,New York,Cortland County,Cortland,"Cortland, NY",Active Apprentices,36.0,,
FY 2021,NY,New York,Bronx County,Bronx,"Bronx, NY",Active Apprentices,30.0,,
FY 2021,NY,New York,Herkimer County,Herkimer,"Herkimer, NY",Active Apprentices,24.0,,
FY 2021,NY,New York,Columbia County,Columbia,"Columbia, NY",Active Apprentices,23.0,,
FY 2021,NY,New York,St. Lawrence County,St. Lawrence,"St. Lawrence, NY",Active Apprentices,21.0,,
FY 2021,NY,New York,Madison County,Madison,"Madison, NY",Active Apprentices,13.0,,
FY 2021,NY,New York,Cattaraugus County,Cattaraugus,"Cattaraugus, NY",Active Apprentices,13.0,,
FY 2021,NY,New York,Schenectady County,Schenectady,"Schenectady, NY",Active Apprentices,11.0,,
FY 2021,NY,New York,Montgomery County,Montgomery,"Montgomery, NY",Active Apprentices,0.0,,
FY 2021,NY,New York,Franklin County,Franklin,"Franklin, NY",Active Apprentices,0.0,,
FY 2021,NY,New York,Steuben County,Steuben,"Steuben, NY",Active Apprentices,0.0,,
